Finding a fit for 1000 stars, with 100 walkers for 20000 steps.
Graphs will be plotted...
A table will be printed...
Each sample will have its paramaters made to be ascending...
Mean acceptance fraction: 0.065903
Autocorrelation time: [ 96.78223682  97.5828728   95.60525858  95.47787288  98.36312929
  95.29904559  91.63043089  96.58517769]
 ____ GROUP 1 _____ 
Modelled mean: -2.02839790191, modelled std: 9.52704396597
'True' mean: 0.0, 'true' std: 10.0
With 31.9414226824% of the stars
 ____ GROUP 2 _____ 
Modelled mean: 1.3327493601, modelled std: 6.17533714868
'True' mean: 20.0, 'true' std: 3.0
With 23.203239406% of the stars
 ____ GROUP 3 _____ 
Modelled mean: 22.0541325433, modelled std: 5.52036767671
'True' mean: 25.0, 'true' std: 5.0
With 51.3252287599% of the stars

Cumulative fractions for reference:
[0.0, 0.5, 0.75, 1.0]
Star #	Group 1	Group 2	Group 3
297	36.90%	62.93%	 0.16%
298	21.49%	15.61%	62.91%
299	43.37%	56.62%	 0.00%
300	52.29%	47.71%	 0.00%
301	38.44%	53.27%	 8.29%
302	40.82%	59.17%	 0.01%
303	37.10%	62.78%	 0.12%
304	22.55%	16.92%	60.53%
305	40.34%	59.65%	 0.01%
306	36.92%	62.18%	 0.90%
307	37.50%	62.42%	 0.08%
308	59.51%	40.49%	 0.00%
309	84.00%	16.00%	 0.00%
310	38.62%	61.35%	 0.04%
311	62.31%	37.69%	 0.00%
312	85.17%	14.83%	 0.00%
313	96.67%	 3.33%	 0.00%
314	99.53%	 0.47%	 0.00%
315	39.50%	60.48%	 0.02%
316	57.58%	42.42%	 0.00%
317	38.44%	54.49%	 7.07%
318	40.82%	59.17%	 0.01%
319	87.98%	12.02%	 0.00%
320	37.17%	61.52%	 1.31%
321	39.47%	60.51%	 0.02%
322	38.09%	58.09%	 3.82%
323	38.15%	57.75%	 4.10%
324	68.85%	31.15%	 0.00%
325	44.91%	55.09%	 0.00%
326	 9.55%	 4.15%	86.30%
327	39.98%	60.00%	 0.02%
328	11.56%	 5.68%	82.75%
329	74.83%	25.17%	 0.00%
330	60.86%	39.14%	 0.00%
331	37.37%	62.54%	 0.09%
332	 4.39%	 1.08%	94.53%
333	49.76%	50.24%	 0.00%
334	28.07%	24.63%	47.30%
335	97.01%	 2.99%	 0.00%
336	42.06%	57.93%	 0.01%
337	37.55%	60.37%	 2.08%
338	37.53%	62.39%	 0.08%
339	39.61%	60.37%	 0.02%
340	63.06%	36.94%	 0.00%
341	41.37%	58.62%	 0.01%
342	98.88%	 1.12%	 0.00%
343	36.41%	42.01%	21.58%
344	38.17%	61.78%	 0.05%
345	22.46%	16.80%	60.75%
346	37.13%	62.75%	 0.12%
347	60.33%	39.67%	 0.00%
348	57.90%	42.10%	 0.00%
349	37.59%	60.24%	 2.17%
350	37.58%	46.39%	16.03%
351	37.81%	62.13%	 0.06%
352	79.11%	20.89%	 0.00%
353	76.34%	23.66%	 0.00%
354	60.16%	39.84%	 0.00%
355	34.53%	36.88%	28.60%
356	73.66%	26.34%	 0.00%
357	37.66%	59.97%	 2.36%
358	38.98%	60.99%	 0.03%
359	73.22%	26.78%	 0.00%
360	37.89%	62.05%	 0.06%
361	36.74%	62.68%	 0.59%
362	38.44%	54.41%	 7.15%
363	36.70%	63.02%	 0.29%
364	65.72%	34.28%	 0.00%
365	37.76%	62.17%	 0.06%
366	74.46%	25.54%	 0.00%
367	38.17%	57.61%	 4.22%
368	49.73%	50.27%	 0.00%
369	40.53%	59.45%	 0.01%
370	56.78%	43.22%	 0.00%
371	37.16%	44.63%	18.21%
372	33.94%	35.52%	30.53%
373	19.82%	13.66%	66.52%
374	48.53%	51.47%	 0.00%
375	51.80%	48.20%	 0.00%
376	42.01%	57.98%	 0.01%
377	38.28%	56.79%	 4.93%
378	36.72%	62.75%	 0.54%
379	38.66%	61.31%	 0.03%
380	45.68%	54.32%	 0.00%
381	37.60%	60.19%	 2.21%
382	43.96%	56.04%	 0.00%
383	41.96%	58.03%	 0.01%
384	10.01%	 4.48%	85.51%
385	53.35%	46.65%	 0.00%
386	37.48%	60.59%	 1.93%
387	97.69%	 2.31%	 0.00%
388	35.05%	38.17%	26.78%
389	50.90%	49.10%	 0.00%
390	99.76%	 0.24%	 0.00%
391	45.20%	54.80%	 0.00%
392	 3.27%	 0.62%	96.11%
393	39.64%	60.34%	 0.02%
394	38.40%	55.53%	 6.07%
395	51.64%	48.36%	 0.00%
396	37.65%	60.04%	 2.32%
397	38.44%	52.97%	 8.59%
398	36.79%	63.00%	 0.21%
399	72.21%	27.79%	 0.00%
400	38.54%	61.42%	 0.04%
401	36.69%	62.83%	 0.48%
402	77.56%	22.44%	 0.00%
403	33.79%	35.17%	31.04%
404	37.19%	61.47%	 1.35%
405	39.78%	60.20%	 0.02%
406	79.47%	20.53%	 0.00%
407	37.17%	44.66%	18.16%
408	44.09%	55.91%	 0.00%
409	77.92%	22.08%	 0.00%
410	99.98%	 0.02%	 0.00%
411	42.27%	57.73%	 0.01%
412	24.90%	19.99%	55.10%
413	53.30%	46.70%	 0.00%
414	37.60%	62.33%	 0.07%
415	94.48%	 5.52%	 0.00%
416	39.68%	60.30%	 0.02%
417	48.04%	51.96%	 0.00%
418	38.51%	61.46%	 0.04%
419	36.73%	62.71%	 0.56%
420	53.24%	46.76%	 0.00%
421	36.83%	62.98%	 0.19%
422	40.06%	59.93%	 0.02%
423	70.53%	29.47%	 0.00%
424	74.35%	25.65%	 0.00%
425	60.26%	39.74%	 0.00%
426	32.57%	32.58%	34.85%
427	38.30%	50.84%	10.87%
428	36.67%	62.98%	 0.35%
429	37.05%	62.82%	 0.13%
430	36.69%	62.84%	 0.47%
431	68.86%	31.14%	 0.00%
432	45.04%	54.96%	 0.00%
433	38.35%	51.44%	10.21%
434	44.50%	55.49%	 0.00%
435	45.43%	54.57%	 0.00%
436	47.77%	52.23%	 0.00%
437	37.69%	59.89%	 2.43%
438	56.99%	43.01%	 0.00%
439	36.96%	62.89%	 0.15%
440	38.33%	56.40%	 5.27%
441	62.14%	37.86%	 0.00%
442	36.64%	42.75%	20.61%
443	31.55%	30.60%	37.85%
444	86.54%	13.46%	 0.00%
445	47.40%	52.60%	 0.00%
446	33.14%	33.76%	33.10%
447	40.84%	59.15%	 0.01%
448	55.27%	44.73%	 0.00%
449	38.72%	61.25%	 0.03%
450	48.88%	51.12%	 0.00%
451	29.24%	26.52%	44.24%
452	38.57%	61.40%	 0.04%
453	38.20%	50.00%	11.80%
454	48.81%	51.19%	 0.00%
455	87.57%	12.43%	 0.00%
456	36.70%	62.81%	 0.49%
457	92.70%	 7.30%	 0.00%
458	47.69%	52.30%	 0.00%
459	80.09%	19.91%	 0.00%
460	85.22%	14.78%	 0.00%
461	48.67%	51.33%	 0.00%
462	42.94%	57.05%	 0.01%
463	38.86%	61.11%	 0.03%
464	36.67%	62.96%	 0.37%
465	39.11%	60.86%	 0.03%
466	42.41%	57.58%	 0.01%
467	51.84%	48.16%	 0.00%
468	 2.80%	 0.46%	96.74%
469	45.47%	54.52%	 0.00%
470	37.93%	58.91%	 3.16%
471	18.55%	12.26%	69.20%
472	37.54%	62.38%	 0.08%
473	63.07%	36.93%	 0.00%
474	67.82%	32.18%	 0.00%
475	54.42%	45.58%	 0.00%
476	38.03%	61.92%	 0.05%
477	36.92%	62.17%	 0.90%
478	40.31%	59.68%	 0.01%
479	38.26%	50.46%	11.28%
480	49.92%	50.08%	 0.00%
481	98.80%	 1.20%	 0.00%
482	53.13%	46.87%	 0.00%
483	47.03%	52.97%	 0.00%
484	100.00%	 0.00%	 0.00%
485	33.81%	35.22%	30.97%
486	39.93%	60.06%	 0.02%
487	37.44%	45.77%	16.79%
488	36.97%	62.88%	 0.15%
489	93.44%	 6.56%	 0.00%
490	65.09%	34.91%	 0.00%
491	31.35%	30.22%	38.44%
492	96.35%	 3.65%	 0.00%
493	73.48%	26.52%	 0.00%
494	55.46%	44.54%	 0.00%
495	 4.87%	 1.31%	93.82%
496	46.79%	53.21%	 0.00%
497	49.72%	50.28%	 0.00%
498	56.88%	43.12%	 0.00%
499	36.86%	62.96%	 0.18%
500	 4.65%	 1.20%	94.14%
501	 3.69%	 0.79%	95.52%
502	 4.80%	 1.27%	93.93%
503	 4.85%	 1.30%	93.85%
504	10.87%	 5.13%	84.00%
505	 3.11%	 0.57%	96.32%
506	15.82%	 9.46%	74.72%
507	14.35%	 8.08%	77.57%
508	21.98%	16.20%	61.82%
509	 2.29%	 0.31%	97.40%
510	 1.33%	 0.09%	98.58%
511	 5.67%	 1.71%	92.62%
512	12.49%	 6.45%	81.06%
513	 7.06%	 2.50%	90.44%
514	 0.92%	 0.03%	99.05%
515	 9.39%	 4.04%	86.57%
516	 2.28%	 0.30%	97.42%
517	10.73%	 5.03%	84.25%
518	13.62%	 7.42%	78.96%
519	 3.33%	 0.65%	96.02%
520	12.91%	 6.80%	80.29%
521	 7.29%	 2.64%	90.08%
522	 4.71%	 1.23%	94.06%
523	13.25%	 7.10%	79.65%
524	 4.72%	 1.23%	94.05%
525	 7.72%	 2.91%	89.37%
526	 9.75%	 4.29%	85.96%
527	 2.97%	 0.52%	96.52%
528	 4.12%	 0.96%	94.92%
529	22.22%	16.51%	61.27%
530	17.23%	10.88%	71.89%
531	 0.78%	 0.02%	99.20%
532	 4.01%	 0.92%	95.08%
533	 4.16%	 0.98%	94.86%
534	 7.35%	 2.68%	89.98%
535	 6.42%	 2.12%	91.46%
536	 7.16%	 2.56%	90.29%
537	 8.53%	 3.44%	88.03%
538	 1.52%	 0.12%	98.36%
539	 1.15%	 0.06%	98.78%
540	 5.03%	 1.39%	93.58%
541	 2.60%	 0.40%	97.00%
542	 4.71%	 1.23%	94.05%
543	 6.70%	 2.28%	91.02%
544	 2.35%	 0.32%	97.33%
545	 7.16%	 2.56%	90.28%
546	24.21%	19.06%	56.73%
547	 2.74%	 0.44%	96.82%
548	 3.64%	 0.77%	95.59%
549	 3.78%	 0.82%	95.40%
550	22.77%	17.19%	60.05%
551	 1.77%	 0.17%	98.06%
552	 5.12%	 1.43%	93.46%
553	 2.86%	 0.48%	96.66%
554	 1.12%	 0.06%	98.82%
555	 6.57%	 2.21%	91.23%
556	 4.95%	 1.35%	93.70%
557	 8.33%	 3.31%	88.36%
558	 7.76%	 2.93%	89.30%
559	 1.60%	 0.14%	98.26%
560	 3.57%	 0.74%	95.69%
561	 8.33%	 3.31%	88.36%
562	 4.43%	 1.10%	94.47%
563	13.38%	 7.21%	79.42%
564	11.25%	 5.44%	83.31%
565	 1.68%	 0.16%	98.16%
566	 4.44%	 1.10%	94.46%
567	 3.18%	 0.59%	96.23%
568	10.57%	 4.90%	84.53%
569	 6.28%	 2.04%	91.67%
570	 1.90%	 0.21%	97.89%
571	 5.50%	 1.62%	92.88%
572	 5.94%	 1.85%	92.21%
573	24.35%	19.25%	56.40%
574	 7.76%	 2.93%	89.30%
575	 1.18%	 0.07%	98.76%
576	 3.31%	 0.64%	96.05%
577	 2.12%	 0.26%	97.62%
578	 6.70%	 2.29%	91.01%
579	 6.37%	 2.09%	91.54%
580	13.37%	 7.20%	79.42%
581	 1.68%	 0.16%	98.16%
582	 9.72%	 4.27%	86.01%
583	 6.87%	 2.39%	90.74%
584	 1.72%	 0.17%	98.11%
585	 1.78%	 0.18%	98.04%
586	 4.66%	 1.21%	94.13%
587	 3.02%	 0.53%	96.45%
588	 7.99%	 3.08%	88.92%
589	10.69%	 5.00%	84.32%
590	 2.30%	 0.31%	97.39%
591	 2.42%	 0.34%	97.24%
592	 1.56%	 0.13%	98.31%
593	 1.89%	 0.20%	97.91%
594	 0.55%	 0.00%	99.44%
595	 6.78%	 2.33%	90.89%
596	 4.91%	 1.32%	93.77%
597	 4.11%	 0.96%	94.93%
598	 1.72%	 0.16%	98.12%
599	 5.45%	 1.59%	92.96%
600	12.42%	 6.39%	81.20%
601	13.97%	 7.74%	78.29%
602	27.61%	23.92%	48.46%
603	 4.21%	 1.00%	94.79%
604	11.29%	 5.46%	83.25%
605	 2.44%	 0.35%	97.22%
606	 2.05%	 0.24%	97.71%
607	 2.75%	 0.45%	96.80%
608	10.42%	 4.79%	84.79%
609	 6.04%	 1.91%	92.04%
610	 4.00%	 0.91%	95.08%
611	 2.81%	 0.46%	96.73%
612	27.20%	23.30%	49.50%
613	 8.42%	 3.36%	88.22%
614	 7.23%	 2.60%	90.17%
615	20.64%	14.60%	64.76%
616	 1.03%	 0.05%	98.92%
617	 2.63%	 0.41%	96.96%
618	14.88%	 8.57%	76.56%
619	 6.40%	 2.11%	91.49%
620	 4.30%	 1.04%	94.65%
621	 2.20%	 0.28%	97.51%
622	19.85%	13.70%	66.44%
623	 7.15%	 2.55%	90.30%
624	 3.29%	 0.63%	96.08%
625	 2.33%	 0.32%	97.36%
626	 3.66%	 0.77%	95.56%
627	 5.82%	 1.79%	92.39%
628	 5.46%	 1.60%	92.94%
629	 1.33%	 0.09%	98.58%
630	 5.56%	 1.65%	92.78%
631	 3.01%	 0.53%	96.46%
632	 1.77%	 0.18%	98.05%
633	 1.33%	 0.09%	98.58%
634	 4.74%	 1.24%	94.02%
635	31.80%	31.07%	37.13%
636	 3.91%	 0.87%	95.22%
637	 9.70%	 4.25%	86.05%
